Waypoint,State,Code,Latitude,Longitude
ADELONG,NSW,AOG,351830S,1480400E
ANM PAPER MILL,NSW,APM,360000S,1465900E
ANNA BAY,NSW,ANA,324700S,1520500E
APPIN,NSW,APPN,341200S,1504718E
ARUNDEL SUBSTATION,NSW,ASU,351230S,1472400E
ATTUNGA,NSW,ATG,305600S,1505020E
AUSTRALIAN LIVESTOCK EQUINE CENT,NSW,ALEC,310805S,1505516E
BANGALOW,NSW,BANG,284112S,1533100E
BARRENJOEY HEAD,NSW,BRNJ,333448S,1511936E
BARRINGUN,NSW,BRR,290100S,1454200E
BATEMANS BAY,NSW,BATB,354300S,1501100E
BECTIVE HS,NSW,BIV,305820S,1504418E
BELLBROOK,NSW,BLR,304918S,1523040E
BENDEMEER,NSW,BND,305300S,1510900E
BERILEE,NSW,BEE,333712S,1510618E
BOTANY BAY HEADS,NSW,BBH,340030S,1511430E
BOWNA,NSW,BOW,355700S,1470700E
BOWRAL,NSW,BWL,342845S,1502505E
BOWRAVILLE,NSW,BOV,303900S,1525100E
BRANXTON,NSW,BAXT,324000S,1512100E
BREEZA,NSW,BZA,311500S,1502800E
BRINGELLY,NSW,BRY,335630S,1504342E
BROOKLYN BRIDGE,NSW,BBG,333227S,1511145E
BROUGHTON ISLAND,NSW,BRI,323630S,1521830E
BRUNSWICK HEADS,NSW,BRH,283230S,1533300E
BURBONG,NSW,URG,352025S,1491835E
BURRAGA,NSW,BUGA,335300S,1493400E
BURRINJUCK,NSW,BJK,350018S,1483500E
BURRUMBUTTOCK,NSW,BMK,355000S,1464800E
BYROCK,NSW,BYRK,303900S,1462400E
BYRON BAY,NSW,BBAY,283900S,1533700E
CAMPBELLTOWN UNIVERSITY,NSW,CAMB,340418S,1504700E
CANTERBURY RACECOURSE,NSW,CBY,335430S,1510642E
CAPE BANKS,NSW,CAPS,335951S,1511440E
CAPTAINS FLAT,NSW,CAPT,353528S,1492643E
CHAFFEY DAM,NSW,CYM,312030S,1510800E
CHATSWOOD CBD,NSW,CHAT,334746S,1511107E
CHIPBOARD FACTORY,NSW,CIB,350415S,1472415E
CHOPPERS NORTH,NSW,CNTH,335254S,1510130E
CHOPPERS SOUTH,NSW,CSTH,335715S,1505752E
CHOPPERS WEST,NSW,CWST,335225S,1510014E
COBAKI,NSW,COBA,281100S,1532916E
COLLINGULLIE,NSW,CGE,350520S,1470715E
COMERONG ISLAND,NSW,CONG,345300S,1504400E
CONDONG MILL,NSW,CGM,281900S,1532600E
COOK ISLAND,NSW,CIS,281150S,1533440E
COOLAMON,NSW,CLMN,344900S,1471200E
CRONULLA,NSW,CUL,340342S,1510912E
CROPPA CREEK,NSW,CRPC,290800S,1501800E
CULCAIRN,NSW,CCN,354000S,1470220E
DARLING HARBOUR,NSW,DHH,335130S,1511200E
DODDS ISLAND,NSW,DODI,281453S,1533201E
DOLLS POINT,NSW,DLPT,335941S,1510853E
DORRIGO,NSW,DRO,302030S,1524245E
DUNGOWAN,NSW,DGN,311300S,1510700E
DUNGOWAN DAM,NSW,DUWN,312400S,1512100E
DURI GAP,NSW,DUA,311200S,1504200E
DURI MT,NSW,DMT,311215S,1504350E
EAST GRETA,NSW,EGT,324415S,1513215E
ERSKINEVILLE OVAL,NSW,ERSK,335408S,1511126E
ETTAMOGAH PUB,NSW,ETTA,355806S,1470030E
FARRER HIGH SCHOOL,NSW,FHS,310830S,1505900E
FISHERMANS PARADISE,NSW,FSHR,351350S,1502654E
FITNESS CAMP,NSW,FIT,351000S,1473720E
GATE SOUTH,NSW,GST,311725S,1504105E
GATE WEST,NSW,GWT,310115S,1503420E
GEORGES RIVER BRIDGE,NSW,GRB,340012S,1510636E
GEROGERY,NSW,GOY,355020S,1465930E
GLADESVILLE BRIDGE,NSW,GVB,335030S,1510848E
GLEN BRAY,NSW,GBRY,355530S,1470030E
GLENLOCH INTERCHANGE,NSW,GLEN,351704S,1490506E
GLENREAGH,NSW,GRE,300315S,1525840E
GLOUCESTER,NSW,GCR,320015S,1515800E
GOOGONG RESV,NSW,GGV,352515S,1491540E
GOONOO GOONOO HS,NSW,GGO,311835S,1505420E
GROSE RIVER,NSW,GRRV,333652S,1504013E
GUNDAGAI,NSW,GDG,350340S,1480610E
GUNNING,NSW,GUNN,344654S,1491600E
HARBOUR BRIDGE,NSW,HBB,335112S,1511230E
HAREFIELD,NSW,HAF,345750S,1473100E
HASTINGS PT,NSW,HASS,282130S,1533448E
