Waypoint,State,Code,Latitude,Longitude
ABEAM KUNOTH,NT,KNO,233230S,1333300E
ADELAIDE RIVER BRIDGE,NT,ADB,123930S,1312000E
ADELAIDE RIVER MOUTH,NT,ADRM,121306S,1311436E
ARROWSMITH PT,NT,AWP,131500S,1362700E
BATHURST ISLAND,NT,BTI,114559S,1303700E
BOND SPRINGS,NT,BSP,233100S,1335100E
BUCHANAN HILLS,NT,BUCN,185400S,1310500E
BYNOE HARBOUR,NT,BYNO,124500S,1304100E
CAPE GAMBIER,NT,CGR,115620S,1305800E
CAPE KEITH,NT,CAKE,113700S,1312800E
CASTLE PT,NT,CTT,122100S,1311630E
CHANNEL ISLAND,NT,CHI,123300S,1305200E
CHARLES PT,NT,CHAP,122258S,1303705E
DALMORE DOWNS,NT,DLMO,194630S,1360006E
DARWIN RIVER DAM,NT,DND,124930S,1305800E
DEEP WELL,NT,DPW,242130S,1340300E
DEVILS MARBLES,NT,DVM,203200S,1341500E
EAST ARM,NT,EAM,123100S,1305600E
EAST PT,NT,ETP,122430S,1304900E
ELIZABETH RIVER BRIDGE,NT,ERB,123235S,1305830E
EMILY GAP,NT,EMY,234422S,1335633E
EWANINGA,NT,EWI,235900S,1335600E
FIELD ISLAND,NT,FLDI,120600S,1322300E
GAOL WATER TOWER,NT,GWTR,235130S,1334800E
GUNN PT,NT,GUP,121100S,1305930E
HOPE INLET,NT,HPI,121940S,1310100E
HORDERN HILLS,NT,HORD,203900S,1301900E
HUGH RIVER,NT,HGR,242100S,1332600E
INDIANA,NT,IDNA,232000S,1352600E
IPPIA HILL,NT,IPHL,250700S,1330300E
JACKO'S JUNCTION,NT,JAC,121548S,1310212E
JAY CREEK,NT,JCK,234712S,1333000E
JESSIE GAP,NT,JES,234455S,1340105E
KOOLATONG RIVER,NT,KTG,130500S,1353900E
LAKE AMADEUS,NT,LKAD,243448S,1302742E
LAKE DEANE,NT,LAD,124400S,1310100E
LAKE FINNISS,NT,LFS,122250S,1312830E
LAKE NEALE,NT,LKNL,241450S,1295759E
LAKE SURPRISE,NT,LSPR,201400S,1314800E
LAKE WHITE,NT,WITE,210600S,1290300E
LAWRENCE GORGE,NT,LWG,240100S,1332430E
LEE PT,NT,LPT,122000S,1305400E
MANDORAH,NT,MADO,122630S,1304540E
MANTON DAM,NT,MTD,125100S,1310730E
MINJILANG,NT,MIJ,110854S,1323450E
MOUNT BENSTEAD,NT,MBST,233400S,1341630E
MOUNT KINGSTON,NT,MTKI,252600S,1333800E
MOUNT LUCY,NT,MLUY,223600S,1333200E
MOUNT OORAMINNA,NT,OOR,240530S,1340010E
MOUNT UNDOOLYA,NT,MUO,234420S,1340610E
OWEN SPRINGS,NT,OWS,235230S,1332820E
PT FAWCETT,NT,FAW,114800S,1300100E
RENNER SPRINGS,NT,RENR,181900S,1334800E
RESEARCH CENTRE,NT,RESC,144651S,1315611E
SANTA TERESA,NT,STT,240800S,1342222E
SCOTT CREEK,NT,STC,145000S,1315000E
SHAW CREEK,NT,SHCR,251300S,1294347E
SIMPSONS GAP,NT,SSG,234045S,1334300E
SOUTHPORT ROAD,NT,STR,123900S,1304630E
STEPHENSONS PEAK,NT,STPK,253000S,1301100E
TALC HEAD,NT,TCH,122845S,1304600E
TURTLE PT,NT,TTLE,145100S,1291500E
UNDEMOW WATERHOLE,NT,UNDW,173500S,1351500E
WAYSIDE,NT,WAYS,153432S,1310225E
WEST ARM,NT,WSM,123300S,1304720E
WICKHAM PT,NT,WIKP,123016S,1305139E
WILLEROO,NT,WILE,151701S,1313356E
