Waypoint,State,Code,Latitude,Longitude
ABM TV TOWERS,QLD,TVT,272830S,1525500E
ACHERON ISLAND,QLD,ANI,185740S,1463810E
ACLAND,QLD,ACLD,271815S,1514120E
ADMIRALTY ISLAND,QLD,ADI,165900S,1454630E
ALOOMBA,QLD,ALBA,170618S,1455000E
ANTILL PLAINS,QLD,ANP,192600S,1465000E
ARCADIA HS,QLD,ARCD,205200S,1380400E
ARDENT,QLD,AEN,264642S,1523442E
ATHERTON,QLD,ATN,171530S,1453030E
BABINDA,QLD,BADA,172030S,1455530E
BALD HILLS MAST,QLD,BLHS,271847S,1530058E
BARNES HILL,QLD,BSL,271200S,1520600E
BARRON GORGE,QLD,BRGE,165100S,1453900E
BEACHMERE,QLD,BCM,270700S,1530300E
BEECHMONT,QLD,BENT,280800S,1531200E
BESSIE POINT,QLD,BESI,165412S,1454848E
BIDDESTON,QLD,BDTN,273330S,1514300E
BINGIL BAY,QLD,BIBA,174940S,1460605E
BLACK MT,QLD,BCT,210410S,1490545E
BLACKSMITH ISLAND,QLD,BKIS,203800S,1490400E
BLI BLI CASTLE,QLD,BLIC,263730S,1530200E
BOGANTUNGAN,QLD,BGN,233900S,1471800E
BOND UNIVERSITY,QLD,BUVY,280436S,1532436E
BONGAREE,QLD,BONG,270500S,1531100E
BOONDALL ENTERTAINMENT CENTRE,QLD,BOON,272030S,1530503E
BORUMBA RESV,QLD,BOAR,263030S,1523500E
BOWEN,QLD,BOWN,200100S,1481430E
BOWENVILLE,QLD,BWV,271820S,1512915E
BRAMPTON ISLAND,QLD,BPI,204820S,1491600E
BRIBIE BRIDGE,QLD,BBBG,270425S,1530846E
BRIBIE ISLAND,QLD,BBI,270001S,1530835E
BRINSMEAD,QLD,BRIN,165430S,1454230E
BRISBANE CBD,QLD,BCTY,272800S,1530200E
BRISBANE CRICKET GROUND,QLD,BNCG,272909S,1530217E
BUCHAN PT,QLD,BUCP,164410S,1454004E
BURLEIGH HEADS,QLD,BLGH,280527S,1532730E
CABLEWAY TERMINAL,QLD,CBLT,165054S,1454130E
CABOOLTURE,QLD,CABO,270515S,1525700E
CALEN,QLD,CALN,205400S,1484610E
CALOUNDRA DROPZONE,QLD,CRDZ,264800S,1530636E
CALTEX REFINERY,QLD,CALT,272454S,1530930E
CALVERT,QLD,CLVT,273949S,1523057E
CANNONVALE,QLD,CAV,201640S,1484130E
CAPE CLEVELAND,QLD,CCL,191100S,1470045E
CAPE CONWAY,QLD,CPY,203210S,1485540E
CAPE GRAFTON,QLD,CGF,165150S,1455500E
CAPE HILLSBOROUGH,QLD,CPH,205420S,1490240E
CAPE MORETON,QLD,CPMN,270200S,1532800E
CARDONA,QLD,CDNA,232000S,1490000E
CARINDALE SHOPPING CENTRE,QLD,CARIN,273000S,1530604E
CASTLEREAGH POINT,QLD,CRPT,271132S,1530641E
CECIL PLAINS,QLD,CCP,273200S,1511100E
CENTENARY BRIDGE,QLD,CBRG,273139S,1525648E
CID HARBOUR,QLD,CIH,201500S,1485600E
CLEVEDON,QLD,CEN,192345S,1470115E
CLEVELAND,QLD,CVD,273110S,1531700E
CLONAGH STN,QLD,CGH,200800S,1404100E
CLONEYS CREEK,QLD,CLOY,201300S,1423600E
COOBY CREEK RESV,QLD,CBYC,272310S,1515620E
COOLMUNDA RESV,QLD,CMDR,282700S,1511400E
COOLUM HI-RISE,QLD,COOL,263140S,1530514E
COOROY,QLD,CORO,262500S,1525430E
COPPERLODE DAM,QLD,CPL,165910S,1454015E
COW ISLAND,QLD,COWI,202522S,1485041E
CROWS NEST,QLD,CNT,271610S,1520320E
DAINTREE,QLD,DAIN,161500S,1451900E
DALRYE,QLD,DRY,201000S,1490400E
DAYBORO,QLD,DBO,271200S,1524915E
DENHAM PASSAGE,QLD,DNP,112000S,1432000E
DICKY BEACH,QLD,DIBE,264655S,1530820E
DONNINGTON AIRPARK,QLD,DOP,193606S,1465030E
DOOMBEN RACECOURSE,QLD,DOOM,272536S,1530412E
DOUBLE CONE ISLAND,QLD,DCIS,200600S,1484300E
DOUBLE ISLAND,QLD,DOU,164330S,1454100E
DOUBLE ISLAND PT,QLD,DLP,255500S,1531100E
DOUBLE PT,QLD,DBPT,115200S,1425400E
DREAMWORLD,QLD,DRLD,275154S,1531900E
DUARINGA,QLD,DAG,234314S,1494008E
DURONG,QLD,DONG,262400S,1511500E
EARL HILL,QLD,EARH,164800S,1454200E
EARLVILLE,QLD,EARV,165718S,1454418E
EDMONTON,QLD,EDT,170130S,1454350E
ENDEAVOUR REEF,QLD,EDOR,154700S,1453400E
ETON,QLD,ETON,211600S,1485820E
EUMUNDI,QLD,EMI,262850S,1525710E
EWEN MADDOCK DAM,QLD,EMD,264640S,1530030E
FALSE CAPE,QLD,FCP,165230S,1455100E
FERNVALE,QLD,FNVL,272715S,1523910E
FISHERMANS ISLAND,QLD,FISH,272312S,1531036E
FITZROY ISLAND,QLD,FID,165600S,1455930E
FLINDERS PEAK,QLD,FPK,274900S,1524830E
FORMARTIN,QLD,FMN,272345S,1512430E
FRESHWATER VALLEY,QLD,FRWV,165700S,1454118E
GALLANGOWAN,QLD,GGN,262558S,1521945E
GALLILEE,QLD,GAE,222300S,1455900E
GATEWAY BRIDGE,QLD,GWB,272645S,1530600E
GIBSON REEF,QLD,GNR,171900S,1462100E
GILBERLAND MINE,QLD,GIM,191800S,1433600E
GIRU,QLD,GIRU,193045S,1470620E
GLENMORGAN,QLD,GMN,271500S,1494100E
GLENROCK HS,QLD,GRK,150700S,1450500E
GOLDSMITH ISLAND,QLD,GOI,204100S,1490900E
GOODNA,QLD,GON,273700S,1525315E
GOOMBUNGEE,QLD,GMBG,271830S,1515100E
GOONANEMAN,QLD,GNN,252600S,1520800E
GORDONVALE,QLD,GOV,170520S,1454700E
GOWRIE JUNCTION,QLD,GOW,273000S,1515310E
GREEN ISLAND (CAIRNS),QLD,GNIS,164530S,1455830E
GREEN ISLAND (MACKAY),QLD,GRL,205900S,1490900E
GREENHILL,QLD,GRNH,170224S,1454818E
GREENMOUNT,QLD,GNM,274700S,1515700E
GUTHALUNGRA,QLD,GUNG,195600S,1475000E
HAMMOND ISLAND,QLD,HMM,103200S,1421300E
HAMPTON,QLD,HMN,272130S,1520400E
HAPPY VALLEY,QLD,HAVY,264828S,1530759E
HASTINGS,QLD,HSTI,281800S,1451100E
HAVANNAH ISLAND,QLD,HVI,185040S,1463220E
HAY PT,QLD,HPT,211640S,1491730E
HAZELWOOD ISLAND,QLD,HAZ,201700S,1490500E
HELIDON,QLD,HED,273300S,1520800E
HIGH PERFORMANCE AREA 3,QLD,HIPA,270858S,1535049E
HIGH VOLTAGE,QLD,HVTG,170051S,1454548E
HILTON MINE,QLD,HIM,203400S,1392900E
HINCHINBROOK ISLAND,QLD,HNCH,182200S,1461500E
HINZE DAM WALL,QLD,HDWL,280300S,1531712E
HOLMES REEF,QLD,HOLM,163000S,1480000E
HOMEBUSH,QLD,HBU,211650S,1490300E
HORNIBROOK VIADUCT,QLD,HBVT,271626S,1530421E
JACKSON RIVER,QLD,JNR,113500S,1420000E
JEANNIE RIVER,QLD,JEA,144400S,1445200E
JONDARYAN,QLD,JDN,272200S,1513515E
JUG CREEK,QLD,JGK,220000S,1444200E
JUMPINPIN,QLD,JPP,274400S,1532700E
JUPITERS CASINO,QLD,JUP,280157S,1532546E
KAIMKILLENBUN,QLD,KKN,270400S,1512600E
KEATS ISLAND,QLD,KTS,94100S,1432700E
KEERWEE,QLD,KERW,251300S,1512100E
KENDALL,QLD,KALL,141200S,1413600E
KESWICK ISLAND,QLD,KSI,205500S,1492500E
KILCOY TOWNSHIP,QLD,KLCY,265630S,1523350E
KILKIVAN,QLD,KKV,260500S,1521448E
KING RANCH TULLY,QLD,KRT,180500S,1455000E
KINGS BEACH,QLD,KBCH,264819S,1530824E
KINGSTHORPE,QLD,KGT,272840S,1514850E
KISSING POINT,QLD,KSPT,191430S,1464820E
KOOMBOOLOOMBA DAM,QLD,KBD,175000S,1453600E
KOORANA CROCODILE FARM,QLD,KANC,231855S,1504534E
KOPPEN PARK,QLD,KOPP,165552S,1454402E
KUNWARARA,QLD,KUN,225500S,1500800E
KURANDA,QLD,KRN,164900S,1453815E
LAIDLEY,QLD,LDLY,273800S,1522300E
LAKE CLARENDON,QLD,LKON,272930S,1522100E
LAKE CURRIMUNDI,QLD,LCDI,264555S,1530812E
LAKE EPSOM,QLD,LEM,212920S,1485000E
LAKE MANCHESTER,QLD,LMC,272900S,1524600E
LAKE MOOGERAH,QLD,LOOH,280200S,1523300E
LANGHAM,QLD,LGH,221200S,1500600E
LAYOAK ISLAND,QLD,LAOS,95100S,1431900E
LINVILLE,QLD,LVE,265100S,1521600E
LITTLE MULGRAVE,QLD,LMGE,170820S,1454330E
LONGFORD CREEK,QLD,LFC,201230S,1482200E
LOW ISLETS,QLD,LWI,162300S,1453400E
LOWOOD,QLD,LWD,272800S,1523500E
LUCINDA,QLD,LNDA,183200S,1462000E
LYND RIVER,QLD,LYNR,172400S,1434500E
MACHANS BEACH,QLD,MACB,165100S,1454500E
MACKENZIE RIVER,QLD,MZR,231000S,1493000E
MAGNESITE MINE,QLD,MAS,225318S,1501100E
MANLY BOAT HARBOUR,QLD,MBHB,272723S,1531128E
MAREEBA,QLD,MBA,170406S,1452506E
MARINO'S QUARRY,QLD,MARQ,165512S,1454337E
MARY KATHLEEN,QLD,MKN,204700S,1395900E
MASTHEAD ISLAND,QLD,MHD,233200S,1514400E
MAURICE HILL,QLD,MRH,235600S,1511500E
MERION,QLD,MRI,225200S,1490200E
MIDGE ISLAND,QLD,MII,204130S,1484540E
MILPEROO,QLD,MPO,231100S,1411500E
MISSION BEACH,QLD,MISB,175215S,1460625E
MISSION BEACH,QLD,MSC,175300S,1460600E
MOFFAT BEACH,QLD,MFBH,264719S,1530830E
MOFFAT HEAD,QLD,MFH,264723S,1530823E
MOOLOOLABA,QLD,MBH,264200S,1530800E
MOONIE,QLD,MIE,274300S,1502200E
MOSSMAN,QLD,MMA,162730S,1452220E
MOUNT BLACK,QLD,MBC,191700S,1463330E
MOUNT BLACKWOOD,QLD,MBK,210200S,1485630E
MOUNT BOHLE,QLD,MTBL,191600S,1464120E
MOUNT CARNARVON,QLD,MCAR,245500S,1482300E
MOUNT COOLUM,QLD,MTC,263340S,1530500E
MOUNT COTTON,QLD,MCOO,273720S,1531300E
MOUNT ELEPHANT,QLD,MELE,162700S,1445600E
MOUNT FUNNEL,QLD,MFN,213730S,1492310E
MOUNT GLORIOUS,QLD,MGLO,272000S,1524600E
MOUNT GRAVATT,QLD,MVT,273300S,1530430E
MOUNT LION,QLD,MLI,232330S,1501915E
MOUNT MARIA,QLD,MTMA,272800S,1512900E
MOUNT MOLLOY,QLD,MMY,164040S,1451945E
