Waypoint,State,Code,Latitude,Longitude
ADELAIDE CBD,SA,ACTY,345600S,1383600E
ALAWOONA,SA,ALON,344500S,1403000E
BIRDWOOD,SA,BDWD,344924S,1385736E
BOWMANS,SA,BWMS,340900S,1381600E
BRIGHTON JETTY,SA,BTJ,350100S,1383100E
BUCKLAND PARK WEATHER RADAR,SA,BPK,343701S,1382808E
BURRA,SA,BURR,334100S,1385600E
CAMBRAI,SA,CBRA,343930S,1391648E
CAPE JERVIS,SA,CAJE,353622S,1380531E
CEDUNA OBSERVATORY,SA,CAO,315200S,1334800E
CRAYFISH,SA,CRAY,383500S,1394500E
DAM WALL,SA,DMW,344530S,1384315E
DRY CREEK,SA,DCRK,345000S,1383500E
DUBLIN,SA,DUB,342715S,1382100E
DUTTON,SA,DTON,342200S,1390800E
FOWLERS BAY,SA,FOWB,315900S,1322600E
FREELING,SA,FRLG,342724S,1384830E
GALGA,SA,GLGA,344300S,1395800E
GAWLER DAM,SA,GWDM,343347S,1384616E
GEPPS CROSS,SA,GEP,345100S,1383600E
GLENORCHY,SA,GLC,315500S,1394700E
HARROGATE,SA,HGTE,345712S,1390106E
HENLEY JETTY,SA,HNLY,345511S,1382927E
HOPE VALLEY RESV,SA,HVR,345100S,1384100E
INDULKANA TOWNSHIP,SA,IDK,265757S,1331930E
KOOMOOLOOBOOKA CAVE,SA,KOOM,312900S,1293500E
KOREELAH,SA,KREE,355500S,1365500E
LAKE EYRE NORTH,SA,LEYN,282500S,1371800E
LAKE FROME,SA,LFRO,303800S,1395200E
LAKE MAURICE,SA,LME,292400S,1305700E
LAKE TORRENS,SA,LTRR,312518S,1380512E
LANGHORNE CREEK,SA,LHCK,351745S,1390240E
LOBETHAL,SA,LBET,345400S,1385200E
MAGILL ESTATE WINERY,SA,MGEW,345512S,1384048E
MARINO LIGHT HOUSE,SA,MLIT,350315S,1383045E
MCLAREN VALE,SA,MVAL,351330S,1383250E
MOUNT BARKER,SA,BAK,350440S,1385200E
MOUNT BOLD RESV,SA,MBR,350715S,1384200E
MOUNT CHRISTIE,SA,MCHR,303300S,1331300E
MOUNT COMPASS,SA,MCOM,352100S,1383700E
MOUNT PLEASANT,SA,MPT,344630S,1390300E
MURRAY BRIDGE,SA,MBD,350900S,1391833E
NOARLUNGA,SA,NARL,350830S,1382920E
NURIOOTPA,SA,NUPA,342900S,1390000E
OBSERVATORY HILL,SA,OBSH,285800S,1320000E
OUTER HARBOR,SA,OHB,344630S,1382900E
OWEN,SA,OEN,341612S,1383230E
PEARSON ISLES,SA,PEAR,335700S,1341600E
PINE PT,SA,PIPT,343400S,1375300E
PORT ADELAIDE,SA,PAL,345100S,1383000E
PORT JULIA,SA,PJUL,344000S,1375240E
PORT NEILL,SA,PNE,340700S,1362100E
PORT NOARLUNGA,SA,PNL,350900S,1382800E
PORT VINCENT,SA,PVCT,344654S,1375139E
RAPID BAY,SA,RAPD,353118S,1381100E
RIVER MOUTH,SA,RMH,343500S,1382130E
RIVERTON,SA,RVTN,340954S,1384448E
SANDALWOOD,SA,SALW,345700S,1400800E
SANDERSTON,SA,SSTO,344436S,1391506E
SECOND VALLEY,SA,SVAL,353100S,1381300E
SELLICKS BEACH,SA,SLB,352030S,1382700E
SOUTH PARA RESERVOIR,SA,SPR,344100S,1385200E
ST KILDA,SA,SKI,344430S,1383150E
STANSBURY,SA,SRY,345440S,1374720E
STRATHALBYN,SA,SYN,351530S,1385340E
SUBSTATION,SA,SUB,344412S,1384247E
SUTHERLANDS,SA,SHER,340900S,1391400E
TALLARINGA WELL,SA,TRWL,290200S,1331700E
TANUNDA,SA,TUND,343200S,1385800E
TARCOWIE,SA,TOWI,325700S,1383100E
TARLEE,SA,TLEE,341630S,1384606E
THE GUMS,SA,THUM,335000S,1392000E
THE GUMS HS,SA,TGU,335100S,1392100E
TRURO,SA,TRUO,342442S,1390712E
URRBRAE AGRICULTURAL HIGH SCHOOL,SA,URC,345800S,1383730E
VELODROME,SA,VELO,345034S,1383640E
VICTORIA PARK,SA,VICP,345600S,1383715E
VOKES HILL,SA,VOKH,282900S,1303500E
WAITE CAMPUS,SA,WTC,345812S,1383808E
WALLAROO,SA,WRO,335600S,1373800E
WARREN RESERVOIR,SA,WRR,344230S,1385600E
WILD HORSE PLAINS,SA,WHPL,342136S,1381718E
