Waypoint,State,Code,Latitude,Longitude
AVOCA,TAS,AVCA,414654S,1474310E
BASS STRAIT,TAS,KALK,393000S,1423000E
BATMAN BRIDGE,TAS,BNE,411303S,1465451E
BEN NEVIS,TAS,BENV,412440S,1473830E
BOAT HARBOUR,TAS,BTM,405700S,1453800E
BOWEN BRIDGE,TAS,BOWB,424900S,1471800E
BUCKLAND,TAS,BKD,423640S,1474300E
CAMPANIA,TAS,CPA,423958S,1472521E
CAMPBELLTOWN,TAS,CLLN,415600S,1472930E
CAPE PORTLAND,TAS,CPLD,404500S,1475700E
CARRICK,TAS,CIK,413200S,1470000E
CASTLE JUNCTION,TAS,CLJ,413020S,1472900E
CHOCOLATE FACTORY,TAS,CHOC,424735S,1471604E
CONARA JUNCTION,TAS,CJN,415000S,1472600E
CRADLE MOUNTAIN LODGE,TAS,CML,413542S,1455542E
CRAIGBOURNE RESV,TAS,CBV,423300S,1472500E
CREMORNE,TAS,CREM,425730S,1473200E
CRESSY,TAS,CES,414130S,1470500E
DELORAINE,TAS,DEL,413200S,1464000E
DERWENT BRIDGE,TAS,DWB,420800S,1461400E
DROUGHTY PT,TAS,DRP,425600S,1472500E
DUNALLEY,TAS,DLY,425330S,1474815E
EAGLE HAWK NECK,TAS,EAN,430100S,1475400E
EDDYSTONE PT,TAS,EDP,405954S,1482054E
FEDERATION PEAK,TAS,FDP,431600S,1462700E
GRAVELLY BEACH,TAS,GVH,411715S,1465820E
HADSPEN,TAS,HSP,413030S,1470330E
HOBART CBD,TAS,HCTY,425300S,1472000E
HUMMOCKY HILLS,TAS,HYH,414400S,1471500E
JACOB'S SUGARLOAF,TAS,JSL,415630S,1471800E
LAKE ECHO,TAS,LKEC,421000S,1463800E
LAUDERDALE,TAS,LAUD,425400S,1473000E
LILYDALE,TAS,LIY,411500S,1471300E
LOW HEAD,TAS,LHD,410400S,1464800E
LOW ROCKY PT,TAS,LRP,430000S,1453000E
MANGALORE,TAS,MGL,423930S,1471430E
MARIA ISLAND,TAS,MRL,423800S,1480500E
MARRAWAH,TAS,MARR,405438S,1444227E
MAYDENA,TAS,MAYD,424549S,1463550E
MORNINGTON,TAS,MORN,425126S,1472443E
NUNAMARA,TAS,NUA,412330S,1471800E
OATLANDS,TAS,OAT,421800S,1472200E
PORT DAVEY,TAS,PDV,432000S,1455300E
PRIMROSE SANDS,TAS,PRS,425300S,1474000E
PROSSERS SUGARLOAF,TAS,PSF,424030S,1474930E
RADIO TELESCOPE,TAS,RADT,424900S,1472700E
RICHMOND,TAS,RCH,424400S,1472600E
SAVAGE RIVER,TAS,SVR,413500S,1450800E
SCOTTSDALE,TAS,STTE,411000S,1473100E
SLOPING ISLAND,TAS,SLP,425652S,1473855E
SORELL,TAS,SORL,424700S,1473500E
SOUTH EAST CAPE,TAS,SEC,433900S,1464900E
STRATHGORDON,TAS,STRA,424600S,1460212E
SYMMONS PLAINS,TAS,SYP,413915S,1471500E
TAMAR ISLAND,TAS,TID,412300S,1470500E
TARGA GAP,TAS,TAP,411841S,1472204E
TASMAN BRIDGE,TAS,TAS,425200S,1472100E
TREVALLYN DAM,TAS,TVM,412715S,1470515E
WEST GAP,TAS,WTG,412040S,1464630E
WEST LAGOON,TAS,WSN,413610S,1470140E
