Waypoint,State,Code,Latitude,Longitude
ACADEMY,VIC,ACE,375345S,1451050E
ALBERT PARK LAKE,VIC,APL,375120S,1445830E
ALTONA,VIC,ALOA,375200S,1445100E
ALTONA SOUTH,VIC,ALTS,375244S,1444836E
ANGLESEA,VIC,ANG,382500S,1441100E
ATV10,VIC,ATV,375110S,1451005E
BACCHUS MARSH TOWNSHIP,VIC,BMP,374030S,1442620E
BALMORAL,VIC,BOA,371500S,1415000E
BARANDUDA TOWERS,VIC,BDT,361500S,1465100E
BARWON PRISON,VIC,BPN,375900S,1442100E
BAYWEST,VIC,BAW,380000S,1445536E
BEECHWORTH,VIC,BCH,362130S,1464120E
BEVERIDGE,VIC,BVG,372820S,1445815E
BOLTE BRIDGE,VIC,BLTB,374909S,1445556E
BONEGILLA,VIC,BNG,360840S,1470045E
BRIGHTON,VIC,BTO,375440S,1445910E
BROADFORD,VIC,BDF,371230S,1450230E
BROOKLYN,VIC,BYN,374940S,1445130E
BUNGIL BRIDGE,VIC,BUG,360300S,1472100E
CARAMUT,VIC,CAU,375800S,1423100E
CARDINIA RESV,VIC,CARE,375730S,1452500E
CARRUM,VIC,CARR,380427S,1450710E
CERBERUS,VIC,CERB,375800S,1450000E
CHILTERN,VIC,CHN,360845S,1463625E
CLIFFY ISLAND,VIC,CFI,385705S,1464208E
CLIFTON SPRINGS,VIC,CLS,380900S,1443400E
COCKATOO,VIC,CKT,375618S,1452942E
COLBINABBIN,VIC,CBI,363500S,1444800E
COWWARR,VIC,COWR,380052S,1464135E
CRAIGIEBURN OVERPASS,VIC,CGB,373610S,1445620E
CRESWICK,VIC,CWK,372600S,1435400E
DARLIMURA,VIC,DARL,382114S,1461255E
DAYLESFORD,VIC,DFD,372100S,1440900E
DEDERANG SUBSTATION,VIC,DSS,362712S,1465924E
DONCASTER SHOPPINGTOWN,VIC,DSN,374700S,1450730E
DROMANA,VIC,DRM,382000S,1445800E
DROUIN,VIC,DRN,380800S,1455100E
ELDORADO,VIC,ELDO,361840S,1463115E
EPPING,VIC,EPPG,373835S,1450130E
FLEMINGTON,VIC,FGN,374735S,1445440E
FLYNN,VIC,FYN,381138S,1464024E
FREEWAY OVERPASS,VIC,FWO,374743S,1445938E
GEMBROOK,VIC,GEK,375700S,1453300E
GLENBURN,VIC,GBR,372530S,1452520E
GMH,VIC,GMH,380030S,1451420E
GRANYA,VIC,GRAA,360640S,1471900E
HEATHCOTE TOWNSHIP,VIC,HEAT,365500S,1444200E
HUME WEIR WALL,VIC,HWW,360640S,1470130E
KALKALLO,VIC,KAO,373212S,1445642E
KIEWA,VIC,KIWA,361530S,1470030E
KILMORE,VIC,KIM,371800S,1445715E
KILMORE GAP,VIC,KMG,371800S,1445900E
KINGLAKE,VIC,KGLE,373120S,1452100E
KINGSTON CENTRE,VIC,KINN,375724S,1450436E
KONGWAK,VIC,KNW,383100S,1454300E
KYNETON,VIC,KTN,371450S,1442730E
LAKE CORANGAMITE,VIC,LCR,380600S,1433100E
LAKE HINDMARSH,VIC,LKH,360700S,1415200E
LAKES ENTRANCE,VIC,LKEE,375200S,1480000E
LANCEFIELD,VIC,LCD,371640S,1444340E
LATROBE UNIVERSITY,VIC,LUY,374300S,1450300E
LAVERTON,VIC,LVAB,375149S,1444445E
LAVERTON BOM TOWER,VIC,TON,375119S,1444519E
LEOPOLD,VIC,LPD,381130S,1442800E
LINDENOW SOUTH,VIC,LOWS,374942S,1472600E
LITTLE RIVER MOUTH,VIC,LRM,380025S,1443500E
LOCH SPORT,VIC,LSR,380300S,1473500E
LOGIC CENTRE,VIC,LOGI,360436S,1464306E
LORNE TOWNSHIP,VIC,LORN,383236S,1435812E
MARTHA PT,VIC,MHT,381900S,1445900E
MARYSVILLE,VIC,MVL,373100S,1454500E
MCGAURAN BEACH,VIC,MGBH,382656S,1470557E
MELBOURNE CBD,VIC,MCTY,374830S,1445730E
MELBOURNE CRICKET GROUND,VIC,MCG,374912S,1445900E
MELTON SOUTH,VIC,MELS,374100S,1443400E
MERRIJIG,VIC,MRJ,370700S,1461500E
MITIAMO,VIC,MITI,361242S,1441348E
MOONEE VALLEY RACECOURSE,VIC,MVC,374600S,1445600E
MOUNT COTTRELL,VIC,MCOT,374548S,1443712E
MOUNT MACEDON,VIC,MCD,372230S,1443435E
MOUNT PIPER,VIC,PIPR,371218S,1450012E
MOUNT WELLINGTON,VIC,MTWN,373336S,1464836E
NARRE WARREN,VIC,NRW,380100S,1451800E
NORTH EAST QUARRY,VIC,NEQ,375630S,1443500E
POINT ORMOND,VIC,PTOM,375300S,1445900E
PORT CAMPBELL,VIC,POMP,383712S,1425942E
PORT PHILLIP HEADS,VIC,PIPS,381736S,1443800E
POWERLINE CROSSING,VIC,PWLC,373645S,1444640E
PYALONG,VIC,PYA,370700S,1445118E
PYKES CREEK RESV,VIC,PYK,373600S,1441740E
RED CLIFFS,VIC,RCS,341800S,1421300E
ROCKBANK,VIC,ROK,374340S,1443912E
ROSSLYNNE RESV,VIC,RLR,372810S,1443350E
SANDY PT,VIC,SDP,382500S,1451400E
SHOAL,VIC,SHOL,380400S,1450200E
SKIPTON,VIC,SKP,374100S,1432200E
STATION PIER,VIC,SNP,375055S,1445550E
SUGARLOAF RESERVOIR,VIC,SGSV,374030S,1451800E
SUNBURY,VIC,SBU,373500S,1444330E
SUNBURY WATER TANK,VIC,SWT,373252S,1444129E
TALLANGATTA,VIC,TLAG,361300S,1471030E
TALLANGATTA CAUSEWAY,VIC,TLY,361250S,1471445E
TALLAROOK,VIC,TLK,370600S,1450600E
THE WHARF,VIC,WHF,380600S,1443200E
TOOBORAC,VIC,TOO,370300S,1444800E
TOOLLEEN,VIC,TLN,364300S,1444100E
TOORONGA,VIC,TOGA,375051S,1450250E
VEHICLE TESTING GROUND,VIC,VTG,375300S,1442500E
WALLAN,VIC,WAN,372430S,1445836E
WARRANDYTE,VIC,WRD,374500S,1451230E
WELSHPOOL,VIC,WELS,383954S,1462618E
WERRIBEE RACECOURSE,VIC,WBER,375400S,1443830E
WERRIBEE SOUTH,VIC,WBES,375836S,1444118E
WEST BASS,VIC,WEBS,393000S,1410000E
WESTGATE BRIDGE,VIC,WES,374947S,1445347E
WHITTLESEA,VIC,WTS,373100S,1450700E
WILLIAMSTOWN,VIC,WMS,375210S,1445440E
WOODLANDS GOLF COURSE,VIC,WOOS,375948S,1450600E
YACKANDANDAH,VIC,YKH,361842S,1465030E
YAN YEAN RESV,VIC,YYN,373330S,1450815E
YARINGA YACHT MARINA,VIC,YYM,381450S,1451503E
