Waypoint,State,Code,Latitude,Longitude
ABM KILTO,WA,ABKL,174419S,1224407E
ADVENTURE WORLD,WA,ADWD,320543S,1154904E
ALKIMOS WATER,WA,AKMW,313649S,1154036E
ANNA PLAINS,WA,ANPL,191600S,1213100E
ARMADALE SHOPS,WA,SHOP,320854S,1160057E
BAKER LAKE,WA,BKRL,264240S,1255847E
BARBAGALLO RACEWAY,WA,BARB,314000S,1154700E
BARN HILL CARAVAN PARK,WA,BHCP,182207S,1220226E
BOATYARD,WA,BOAT,320902S,1154557E
BODDINGTON,WA,BODD,324800S,1162800E
BROOKTON,WA,BTON,322200S,1170100E
BURNS BEACH,WA,BUB,314342S,1154300E
BYFORD,WA,BYFD,321300S,1160200E
CANNING BRIDGE,WA,CNB,320036S,1155100E
CANNING DAM,WA,CDM,320915S,1160730E
CAPE LAMBERT,WA,CMB,203536S,1171100E
CAPE RICHE,WA,CPHE,343600S,1184600E
CITY BEACH,WA,CYB,315630S,1154500E
COSSACK,WA,COSS,204036S,1171124E
COTTESLOE,WA,CTE,315930S,1154500E
DE GREY HS,WA,DGY,201030S,1191010E
FORRESTDALE LAKE,WA,FDL,320935S,1155550E
FORRESTFIELD,WA,FFLD,315919S,1160104E
FREMANTLE,WA,FRE,320330S,1154430E
FREMANTLE GOLF COURSE,WA,FREM,320317S,1154625E
GREEN HILLS,WA,GRHL,315530S,1165730E
HARVEY,WA,HARV,330500S,1155400E
HELENA RIVER RESV,WA,HRR,320005S,1161336E
HERDSMAN LAKE,WA,HKE,315513S,1154850E
HOOD PT,WA,HDP,342300S,1193400E
HORIZONTAL WATERFALLS,WA,HZWF,162300S,1235800E
HYDEN,WA,HYDN,322700S,1185200E
INDEE HS,WA,IND,204710S,1183530E
ISRAELITE BAY,WA,ISB,333700S,1235300E
JACOB'S WELL,WA,JACW,320200S,1171200E
JAMES PRICE POINT,WA,JMPP,172906S,1220837E
JARRAHDALE,WA,JADL,322024S,1160430E
KIDSON BLUFF,WA,KDBF,221500S,1250200E
KILTO,WA,KLTO,174129S,1224249E
KING CASCADES,WA,KCAS,153730S,1251800E
LAKE DISAPPOINTMENT,WA,LDAP,233000S,1224000E
LAKE ILMA,WA,LKIM,291500S,1274600E
LAKE KING,WA,LKG,330500S,1194000E
LAKE MINIGWAL,WA,LMWL,293500S,1231000E
LAKE RAESIDE,WA,LRID,293300S,1221800E
LAKE RASON,WA,LRAN,284000S,1241700E
LAKE THROSSELL,WA,LTL,273800S,1240500E
LAKE YEO,WA,LYEO,280305S,1243306E
LANCELIN TOWNSHIP,WA,LANC,310107S,1151942E
LANSDOWNE,WA,LSDW,173654S,1264436E
MANDURAH,WA,MDU,323148S,1154318E
MAYLANDS POLICE ACADEMY,WA,MAYL,315648S,1155412E
MIAREE POOL BRIDGE,WA,MIAR,205100S,1163636E
MILLSTREAM STN,WA,MSTM,213700S,1170400E
MOUNT COOKE,WA,MTK,322500S,1161824E
MOUNT DALE,WA,MUE,320736S,1161748E
MOUNT DAY,WA,MDY,320800S,1203000E
MOUNT EVERARD,WA,MEV,251100S,1250400E
MOUNT JACKSON HS,WA,MJK,301200S,1190600E
MOUNT SYDNEY,WA,MUSD,212400S,1211200E
MOUNT VERNON HS,WA,MVO,241400S,1181400E
MOUNT WILKIE,WA,MWK,205706S,1162506E
MULLALOO PT,WA,MUP,314830S,1154330E
MUNDARING WEIR,WA,MWR,315715S,1160930E
NORTH LAKE,WA,NORT,320436S,1154925E
OAKFORD,WA,OAKF,321212S,1155530E
OBSERVATION CITY,WA,OBC,315340S,1154518E
OVERLANDER,WA,OVL,262400S,1142800E
PERCIVAL LAKES,WA,PVS,213448S,1240936E
PERTH CITY,WA,PCTY,315716S,1155125E
PICKERING BROOK GOLF COURSE,WA,PIB,320215S,1160642E
PINGARING,WA,PING,324530S,1183730E
POWERHOUSE,WA,POWR,320543S,1154524E
PRESCOTT LAKES,WA,PRES,204500S,1251000E
PUMPHREY'S BRIDGE,WA,PMPH,324000S,1165400E
REDCLIFFE BRIDGE,WA,REDC,315548S,1155618E
ROCKINGHAM,WA,ROHM,321731S,1154429E
ROLEYSTONE,WA,RLY,320700S,1160430E
RUSSELL,WA,RUSS,321111S,1160032E
SAWYERS VALLEY,WA,SWY,315415S,1161215E
SHELLEY BRIDGE,WA,SEL,320130S,1155400E
STRELLEY HS,WA,SLY,202630S,1185900E
THE LAKES MINE,WA,TLMI,315154S,1162130E
THOMSONS LAKE,WA,TOML,320906S,1155006E
TOM PRICE,WA,TMPT,224142S,1174730E
TOWRANA HS,WA,TOWA,252600S,1151400E
TWO ROCKS,WA,TOS,312930S,1153500E
UPPER SWAN,WA,USW,314618S,1160100E
VPH,WA,VPH,315642S,1155733E
WALPOLE,WA,WPE,345900S,1164400E
WANDERING,WA,WAND,324030S,1164000E
WAROONA,WA,WRNA,325030S,1155500E
WHIM CREEK,WA,WHM,205000S,1175000E
WILLIE CREEK,WA,WICK,174500S,1221230E
WITHNELL BAY,WA,WTHB,203448S,1164712E
WOODBROOK,WA,WBK,205440S,1170700E
WOODMAN PT,WA,WMP,320830S,1154400E
WUNDOWIE,WA,WUN,314600S,1162236E
WUNGONG RESERVOIR,WA,WUNG,321206S,1160346E
YANGEBUP LAKE,WA,YGB,320713S,1155000E
YORK TOWNSHIP,WA,ORKT,315300S,1164600E
YORNANING TOWNSHIP,WA,ORNN,324400S,1171000E
